Account address,Show boosts,Notify on new posts,Languages
@gdams@fosstodon.org,true,false,
@bercut2000@c.im,true,false,
@aalmiray@mastodon.social,true,false,
@delawen@floss.social,true,false,
@paulbakker@mastodon.online,true,false,
@luciobenfante@mastodon.social,true,false,
@jpbempel@mastodon.online,true,false,
@bbenz@mastodon.social,true,false,
@gbevin@uwyn.net,true,false,
@jean_bisutti@mastodon.social,true,false,
@simonebordet@mastodon.online,true,false,
@brunoborges@mastodon.social,true,false,
@jeanneboyarsky@mastodon.social,true,false,
@hjc@mastodon.me.uk,true,false,
@TCoolsIT@mastodon.social,true,false,
@JoCosti@mstdn.social,true,false,
@icougil@jvm.social,true,false,
@holly_cummins@hachyderm.io,true,false,
@IanDarwin/@fosstodon.org,true,false,
@daschners@mastodon.social,true,false,
@edeandrea@mastodon.social,true,false,
@frankdelporte@foojay.social,true,false,
@bdemers@mastodon.social,true,false,
@edwinderks@mastodon.social,true,false,
@maritvandijk@mastodon.social,true,false,
@odrotbohm@chaos.social,true,false,
@kevindubois@mastodon.social,true,false,
@hendrikEbbers@mastodon.cloud,true,false,
@lukaseder@mastodon.social,true,false,
@myfear@mastodon.online,true,false,
@hannotify@foojay.social,true,false,
@noctarius2k@mastodon.online,true,false,
@clementplop@mastodon.social,true,false,
@kittylyst@mastodon.social,true,false,
@rom@social.lol,true,false,
@RichardFichtner@fosstodon.org,true,false,
@omniprof@mastodon.social,true,false,
@TobiasFrech@ijug.social,true,false,
@trisha_gee@jvm.social,true,false,
@JonathanGiles@hachyderm.io,true,false,
@dgomezg@jvm.social,true,false,
@agoncal@fosstodon.org,true,false,
@JamesGosling@universeodon.com,true,false,
@rgransberger@mastodon.social,true,false,
@graciano@mastodon.social,true,false,
@ivar_grimstad@mastodon.social/deck,true,false,
@sanne@fosstodon.org,true,false,
@hansolo_@mastodon.social,true,false,
@mgrygles@foojay.social,true,false,
@toomuchcoding@fosstodon.org,true,false,
@mkheck@mastodon.cloud,true,false,
@dhinojosa@mastodon.social,true,false,
@hirt@mastodon.social,true,false,
@marcandsweep@mastodon.social,true,false,
@cayhorstmann@foojay.social,true,false,
@mesirii@chaos.social,true,false,
@stephan007@techhub.social,true,false,
@emilyjiang@mastodon.social,true,false,
@javajuneau@fosstodon.org,true,false,
@HeinzKabutz@mastodon.social,true,false,
@matkar@mastodon.social,true,false,
@kenkousen@foojay.social,true,false,
@glaforge@uwyn.net,true,false,
@PeterLawrey@mastodon.social,true,false,
@jasondlee@mastodon.cloud,true,false,
@evanchooly@mastodon.social,true,false,
@starbuxman@mastodon.online,true,false,
@sander_mak@federate.social,true,false,
@godin@mastodon.social,true,false,
@kito99@mastodon.social,true,false,
@khmarbaise@mastodon.social,true,false,
@SimonMartinelli@mastodon.social,true,false,
@mehmandarov@mastodon.social,true,false,
@ondromih@mastodon.online,true,false,
@ammbra1508@mastodon.social,true,false,
@gunnarmorling@mastodon.online,true,false,
@mthmulders@mastodon.online,true,false,
@chriswhocodes@mastodon.social,true,false,
@nurkiewicz@fosstodon.org,true,false,
@headius@mastodon.social,true,false,
@tuxtor@fosstodon.org,true,false,
@mp911de@mastodon.social,true,false,
@nipafx@mastodon.social,true,false,
@sparsick@mastodon.social,true,false,
@piotrprz@mstdn.social,true,false,
@bazlur_rahman@mastodon.online,true,false,
@mpredli01@mastodon.sdf.org,true,false,
@speakjava@mastodon.social,true,false,
@svenreimers@mastodon.social,true,false,
@royvanrijn@mastodon.social,true,false,
@ixchelruiz@mastodon.social,true,false,
@jbaruch@mastodon.online,true,false,
@neomatrix369@mastodon.online,true,false,
@deepu105@mastodon.social,true,false,
@tomsontom@mastodon.social,true,false,
@rfscholte@mstdn.social,true,false,
@ebullient@fosstodon.org,true,false,
@bjschrijver@mastodon.social,true,false,
@rotnroll666@mastodon.social,true,false,
@sippsack@mastodon.social,true,false,
@attilasz@mastodon.social,true,false,
@christhalinger@mastodon.social,true,false,
@MarioTorre@mastodon.social,true,false,
@henri@mastodon.world,true,false,
@saturnism@mastodon.social,true,false,
@tagir_valeev@mastodon.online,true,false,
@martijnverburg@mastodon.social,true,false,
@brianverm@mastodon.social,true,false,
@michaelvitz@innoq.social,true,false,
@johanvos@mastodon.social,true,false,
@habuma@fosstodon.org,true,false,
@rafaelcodes@mastodon.social,true,false,
@ewolff@mastodon.social,true,false,
@yanaga@mastodon.online,true,false,
